Date,Units,NAV,Amount,fundcode,fundname
30-10-2025,190.152,52.59,10000.0,147946,Bandhan Small Cap Fund
05-11-2025,576.218,52.06,30000.0,147946,Bandhan Small Cap Fund
11-12-2025,397.76,50.279,20000.0,147946,Bandhan Small Cap Fund
25-03-2022,74.701,66.93,5000.0,125354,Axis Small Cap Fund
07-04-2022,71.856,69.58,5000.0,125354,Axis Small Cap Fund
17-05-2022,78.798,63.45,5000.0,125354,Axis Small Cap Fund
16-06-2022,81.642,61.24,5000.0,125354,Axis Small Cap Fund
15-07-2022,78.182,63.95,5000.0,125354,Axis Small Cap Fund
17-08-2022,71.846,69.59,5000.0,125354,Axis Small Cap Fund
16-09-2022,13.915,71.86,1000.0,125354,Axis Small Cap Fund
03-11-2022,70.005,71.42,5000.0,125354,Axis Small Cap Fund
13-12-2022,13.707,72.95,1000.0,125354,Axis Small Cap Fund
05-01-2023,69.868,71.56,5000.0,125354,Axis Small Cap Fund
06-02-2023,69.907,71.52,5000.0,125354,Axis Small Cap Fund
08-03-2023,70.429,70.99,5000.0,125354,Axis Small Cap Fund
06-04-2023,71.282,70.14,5000.0,125354,Axis Small Cap Fund
08-05-2023,67.747,73.8,5000.0,125354,Axis Small Cap Fund
06-06-2023,63.57,78.65,5000.0,125354,Axis Small Cap Fund
06-07-2023,60.95,82.03,5000.0,125354,Axis Small Cap Fund
07-08-2023,59.464,84.08,5000.0,125354,Axis Small Cap Fund
06-09-2023,56.642,88.27,5000.0,125354,Axis Small Cap Fund
09-10-2023,57.153,87.48,5000.0,125354,Axis Small Cap Fund
07-11-2023,55.534,90.03,5000.0,125354,Axis Small Cap Fund
06-12-2023,52.507,95.22,5000.0,125354,Axis Small Cap Fund
08-01-2024,51.316,97.43,5000.0,125354,Axis Small Cap Fund
07-02-2024,87.972,102.3,9000.0,125354,Axis Small Cap Fund
 12-01-2022,82.981,120.5,10000.0,125497,SBI Small Cap Fund
 15-02-2022,89.054,112.29,10000.0,125497,SBI Small Cap Fund
 15-03-2022,90.255,110.79,10000.0,125497,SBI Small Cap Fund
 18-04-2022,85.46,117.01,10000.0,125497,SBI Small Cap Fund
 17-05-2022,90.483,110.51,10000.0,125497,SBI Small Cap Fund
 16-06-2022,94.481,105.84,10000.0,125497,SBI Small Cap Fund
 15-07-2022,89.925,111.2,10000.0,125497,SBI Small Cap Fund
 17-08-2022,81.495,122.7,10000.0,125497,SBI Small Cap Fund
 03-11-2022,77.857,128.43,10000.0,125497,SBI Small Cap Fund
 05-12-2022,76.308,131.04,10000.0,125497,SBI Small Cap Fund
 03-01-2023,78.302,127.7,10000.0,125497,SBI Small Cap Fund
 03-02-2023,80.453,124.29,10000.0,125497,SBI Small Cap Fund
 03-03-2023,80.675,123.95,10000.0,125497,SBI Small Cap Fund
 03-04-2023,81.878,122.13,10000.0,125497,SBI Small Cap Fund
 03-05-2023,78.432,127.49,10000.0,125497,SBI Small Cap Fund
 06-06-2023,74.861,133.57,10000.0,125497,SBI Small Cap Fund
 03-07-2023,72.108,138.67,10000.0,125497,SBI Small Cap Fund
 03-08-2023,68.924,145.08,10000.0,125497,SBI Small Cap Fund
 04-09-2023,65.971,151.57,10000.0,125497,SBI Small Cap Fund
 03-10-2023,65.903,151.73,10000.0,125497,SBI Small Cap Fund
 06-11-2023,66.845,149.59,10000.0,125497,SBI Small Cap Fund
 04-12-2023,62.965,158.81,10000.0,125497,SBI Small Cap Fund
 03-01-2024,61.685,162.11,10000.0,125497,SBI Small Cap Fund
 05-02-2024,60.309,165.8,10000.0,125497,SBI Small Cap Fund
 04-03-2024,58.133,172.01,10000.0,125497,SBI Small Cap Fund
 03-04-2024,57.57,173.69,10000.0,125497,SBI Small Cap Fund
30-03-2022,36.6,136.61,5000.0,120828,quant Small Cap Fund
06-04-2022,34.094,146.64,5000.0,120828,quant Small Cap Fund
17-05-2022,39.179,127.61,5000.0,120828,quant Small Cap Fund
16-06-2022,42.4,117.92,5000.0,120828,quant Small Cap Fund
15-07-2022,40.069,124.78,5000.0,120828,quant Small Cap Fund
17-08-2022,36.778,135.94,5000.0,120828,quant Small Cap Fund
16-09-2022,6.994,142.97,1000.0,120828,quant Small Cap Fund
03-11-2022,6.929,144.31,1000.0,120828,quant Small Cap Fund
12-12-2022,6.452,154.98,1000.0,120828,quant Small Cap Fund
05-01-2023,6.454,154.94,1000.0,120828,quant Small Cap Fund
06-02-2023,66.62,150.1,10000.0,120828,quant Small Cap Fund
06-03-2023,65.6,152.43,10000.0,120828,quant Small Cap Fund
06-04-2023,66.576,150.2,10000.0,120828,quant Small Cap Fund
08-05-2023,62.915,158.94,10000.0,120828,quant Small Cap Fund
