date,total_invested,total_current,total_gain
2025-11-18,4558100.0,7158601.88,2600501.88
2025-11-19,4558100.0,7145950.73,2587850.73
2025-11-20,4558100.0,7144317.51,2586217.51
2025-11-21,4558100.0,7152211.56,2594111.56
2025-11-22,4558100.0,7085906.65,2527806.65
2025-11-25,4558100.0,7061728.63,2503628.63
2025-11-26,4558100.0,7065603.88,2507503.88
2025-11-27,4558100.0,7162799.33,2604699.33
2025-11-28,4558100.0,7154588.64,2596488.64
2025-11-29,4558100.0,7173554.7,2615454.7
2025-12-01,4568100.0,7183652.17,2615552.17
2025-12-02,4568100.0,7175156.57,2607056.57
2025-12-03,4568100.0,7141473.3,2573373.3
2025-12-04,4568100.0,7145536.5,2577436.5
2025-12-05,4568100.0,7160468.01,2592368.01
2025-12-08,4568100.0,7079162.97,2511062.97
2025-12-09,4568100.0,7093369.72,2525269.72
2025-12-10,4568100.0,7062173.04,2494073.04
2025-12-11,4583100.0,7113741.72,2530641.72
2025-12-12,4693100.0,7265263.9,2572163.9
2025-12-15,4693100.0,7268589.35,2575489.35
2025-12-16,4703100.0,7201542.14,2498442.14
2025-12-17,4703100.0,7150862.16,2447762.16
2025-12-18,4703100.0,7163584.88,2460484.88
2025-12-19,4703100.0,7214236.7,2511136.7
2025-12-22,4703100.0,7229748.55,2526648.55
2025-12-23,4703100.0,7270236.62,2567136.62
2025-12-24,4703100.0,7248271.17,2545171.17
